,ground_truth,baseline,baseline_s42,baseline_s985,filt_freq_distro,filt_freq_distro_s42,filt_freq_distro_s985,filt_gen_sent,filt_gen_sent_s42,filt_gen_sent_s985,filt_tgt_ppl,filt_tgt_ppl_s42,filt_tgt_ppl_s985
269,3,0,0,2,2,2,2,2,2,2,2,2,2
270,2,1,1,1,1,2,2,1,0,1,1,1,2
271,2,2,2,3,0,2,0,1,0,1,1,0,0
272,3,0,0,1,3,2,3,2,3,1,3,3,4
273,0,1,0,0,1,2,2,2,1,2,0,1,1
274,0,1,1,1,1,1,1,1,2,1,0,1,0
275,0,0,0,0,0,2,1,1,2,1,0,0,1
276,1,1,1,1,2,2,4,3,4,3,2,1,3
277,3,3,3,3,3,4,3,3,2,4,4,0,0
278,1,0,3,0,4,2,3,3,1,2,4,2,4
279,1,3,3,3,2,4,3,4,2,4,3,3,3
280,3,1,2,1,2,4,2,2,2,2,2,1,1
281,5,3,0,3,2,2,2,2,1,3,3,3,3
282,1,0,0,1,1,1,2,2,2,3,3,2,2
283,0,0,0,0,3,2,3,0,1,2,2,2,1
284,2,2,2,1,2,2,3,2,2,1,1,1,0
285,1,0,0,0,2,1,2,1,2,2,1,1,2
286,4,5,3,3,3,3,3,5,3,3,4,3,4
287,2,3,2,3,2,2,2,1,1,1,2,2,2
288,2,2,2,1,2,2,3,2,2,2,1,1,1
289,2,0,0,0,2,0,2,3,1,3,3,2,5
290,2,0,0,0,1,2,1,2,2,2,0,3,2
291,1,0,0,0,2,2,2,3,2,3,1,3,2
292,1,2,1,1,2,1,2,1,1,1,2,1,1
293,3,1,1,1,0,1,0,3,1,2,1,1,0
294,0,1,1,1,1,2,1,2,3,2,4,1,2
295,2,0,0,0,1,1,0,0,1,0,0,0,1
296,3,3,3,3,3,3,5,2,2,2,3,4,2
297,0,0,0,0,2,2,4,1,1,1,1,1,1
298,2,2,2,2,2,1,0,2,2,2,2,2,2
299,1,0,2,2,5,3,3,1,2,1,2,0,0
300,1,1,0,0,1,1,3,0,1,0,1,1,3
301,4,2,3,1,3,2,2,2,2,2,2,2,2
302,1,0,0,0,1,3,1,2,1,2,1,0,0
303,1,1,2,2,2,3,2,3,4,2,1,1,0
304,3,0,2,0,2,2,1,3,3,3,2,1,2
305,2,0,0,0,3,2,3,3,3,2,1,1,1
306,0,0,0,0,3,2,0,1,0,1,1,1,1
307,3,0,0,0,4,2,2,2,1,2,1,2,2
308,3,2,1,2,2,2,2,1,2,2,2,2,2
309,8,1,1,1,1,3,3,2,2,1,2,3,2
310,2,0,2,2,5,2,5,2,2,2,2,2,2
311,3,0,0,0,2,2,1,1,0,0,2,2,2
312,0,0,0,0,2,1,1,1,1,1,1,1,1
313,5,1,3,2,3,3,3,6,4,4,3,3,3
314,3,1,1,2,2,2,2,2,2,2,2,1,2
315,4,0,0,0,0,0,0,1,0,0,1,1,1
316,1,0,0,0,2,2,2,4,2,2,2,1,2
317,3,0,0,0,1,2,1,1,2,1,1,2,1
318,1,0,0,0,2,2,2,3,3,2,1,3,1
319,4,1,2,1,2,1,1,1,3,2,1,1,0
320,5,1,0,0,0,0,2,1,3,4,0,1,3
321,1,1,1,1,2,2,2,3,3,4,3,3,3
322,0,2,2,1,1,3,3,1,1,1,1,1,0
323,1,1,2,2,1,2,2,0,1,2,1,1,0
324,1,0,0,0,3,1,1,1,1,1,1,1,0
325,3,1,1,0,2,2,2,2,3,2,1,1,1
326,0,1,1,0,2,2,2,2,2,2,1,1,2
327,1,1,0,0,2,1,0,1,1,1,1,0,1
328,1,1,1,1,2,3,2,2,2,1,2,2,2
329,2,0,0,0,1,0,0,1,0,0,0,0,0
330,3,2,1,1,3,4,2,1,3,2,1,2,1
331,4,1,0,1,3,2,1,4,4,3,2,2,1
332,3,0,0,0,1,3,4,2,1,3,1,1,1
333,3,0,2,0,0,2,2,2,2,2,2,2,0
334,1,4,0,0,1,0,0,1,0,1,1,1,3
335,3,1,1,1,2,1,1,2,3,2,0,1,1
336,3,2,2,2,2,3,2,2,2,3,2,3,2
337,2,2,2,2,3,2,3,2,2,1,2,2,1
338,1,3,3,1,2,1,3,2,3,1,2,2,4
339,2,0,1,0,2,3,2,2,2,2,2,2,2
340,2,1,0,0,2,2,1,0,1,0,1,1,1
341,5,3,3,3,4,4,3,6,7,1,6,3,2
342,0,1,1,1,2,1,1,4,4,1,2,2,1
343,1,0,0,0,1,4,1,4,4,4,2,2,2
344,1,0,3,0,3,3,3,1,1,1,3,2,3
345,2,0,0,0,0,1,1,2,2,2,1,2,1
346,0,1,1,0,1,3,0,1,1,1,3,3,2
347,0,0,0,0,2,1,2,1,2,2,2,3,1
348,2,1,1,1,4,4,5,3,4,4,4,3,3
349,2,3,1,4,1,1,3,3,4,4,2,2,2
350,2,0,1,1,2,2,2,2,3,2,1,1,1
351,3,2,1,2,5,2,5,2,2,2,2,2,1
352,1,2,0,2,3,3,3,1,4,3,3,3,3
353,3,2,2,1,1,0,1,3,3,4,2,4,2
354,2,3,3,1,4,0,5,2,2,3,2,5,2
355,5,1,1,2,3,4,5,2,2,2,3,3,3
356,3,0,0,0,3,3,2,1,1,1,1,1,1
357,1,7,7,6,3,6,5,2,2,2,2,2,2
358,0,0,0,1,1,1,1,2,2,3,1,1,1
359,3,1,0,0,2,1,2,1,2,2,3,1,1
360,1,0,0,0,2,2,2,2,1,3,1,2,2
361,4,3,3,3,4,2,2,2,2,2,1,2,2
362,3,3,2,2,3,1,3,3,4,3,1,3,2
363,0,0,0,0,2,2,2,2,1,2,1,1,2
364,3,1,0,0,3,2,3,2,2,2,1,1,1
365,1,0,0,3,1,1,3,2,2,4,3,3,3
366,1,1,2,1,2,2,2,2,1,2,2,1,1
367,0,0,0,0,0,1,0,0,0,0,0,1,0
368,3,2,2,2,3,2,3,3,3,3,3,3,3
369,1,1,2,2,3,2,3,2,2,2,3,3,3
370,1,1,0,0,1,2,4,2,2,2,2,1,2
371,3,0,1,1,2,4,5,4,3,2,3,1,3
372,9,0,0,0,0,0,0,0,0,0,0,0,0
373,6,3,3,3,3,2,3,6,5,5,1,2,3
374,1,0,0,0,2,2,2,2,1,1,1,1,1
375,3,1,1,1,5,1,4,2,2,2,2,1,1
376,2,2,3,3,2,2,2,2,2,2,1,2,3
377,1,0,2,0,4,1,0,1,1,0,2,0,2
